Nama.Tenant,Bidang.Teknologi,Omset,Tenaga_Kerja,Score,Predikat
CV. Sentra Susu Cipageuran,Pertanian & Tahan Pangan,360000000,5,190,FAIR
CV Gerbang Organik Nusantara,Pertanian & Tahan Pangan,250000000,3,159,FAIR
PT. Agro Teknologi Pintar,ICT,230000000,5,296,EXCELLENT
PT. Mikata Sukses Mandiri,Pertanian & Tahan Pangan,3600000000,5,310,EXCELLENT
PT. Adhiguna Jaya Laboratorium,Pertanian & Tahan Pangan,500000000,5,223,GOOD
PT. Ludean Kreasi Utama,Pertanian & Tahan Pangan,300000000,3,80,DROP OUT
CV. Nanotech Herbal Indonesia,Farmasi,10000000000,45,352,EXCELLENT
PT. Wibawa Panca Warna,Material Maju,360000000,15,173,FAIR
PT. Salam Berkah Nusantara,Energi,200000000,2,296,EXCELLENT
PT. Evia Maju Bersama,Pertanian & Tahan Pangan,500000000,8,255,VERY GOOD
PT. Telur Sehat Nusantara,Pertanian & Tahan Pangan,345600000,2,221,GOOD
PT. Mikrotek Sukses Indonesia,Pertanian & Tahan Pangan,40000000,3,196,GOOD
PT. Karunia Kautsar Perdana,Pertanian & Tahan Pangan,14000000,5,177,FAIR
CV. Global Usaha Bersama,Material Maju,32000000,3,115,DROP OUT
CV. Zorina Wirapu Radika,Pertanian & Tahan Pangan,16000000,3,164,FAIR
PT. Industri Komposit Anak Bangsa,Material Maju,8000000,3,141,DROP OUT
PT. Pustek Energi dan Teknologi,Energi,400000000,6,211,GOOD
Koperasi Laut Hijau ,Pertanian & Tahan Pangan,1000000,2,327,EXCELLENT
PT. Pionir Persada Indonesia,Pertanian & Tahan Pangan,20000000,0,120,DROP OUT
PT. Envinix Mikrosistem,ICT,30000000,2,231,GOOD
PT. Natura Molekular Indonesia,Farmasi,45000000,3,171,FAIR
PT Cipta Mikro Material,Material Maju,444000000,6,148,DROP OUT
Zingiber Indoraya,Pertanian & Tahan Pangan,10000000,2,195,FAIR
PT. Neoalgae Technology,Pertanian & Tahan Pangan,350000000,12,291,VERY GOOD
PT. Graha Atsiri Indonesia 2018 / PT. Aromatik Teknologi Indonesia,Farmasi,4205000000,17,347,EXCELLENT
PT. Pavettia Atsiri Indonesia,Material Maju,75000000,12,242,GOOD
PT INDOCOR REKAYASA TEKNOLOGI,ICT,1117350700,6,152,FAIR
PT. Powertech Nano Industri,Material Maju,2700000000,8,340,EXCELLENT
PT. Biomagg Indonesia,Pertanian & Tahan Pangan,143000000,14,270,VERY GOOD
PT. Kuns Corp,Material Maju,35000000,2,162,FAIR
CV Indowifi Surya Solusi / PT. Wiforgo Global Solusi,ICT,5000000,8,177,FAIR
CV Bukit Organik,Pertanian & Tahan Pangan,4000000000,6,89,DROP OUT
PT. Energi Solusi Cendikia,Hankam,28889484,9,155,FAIR
PT. Perdana Multi Tekindo,Material Maju,34113292,5,300,EXCELLENT
PT. Dyna Energy,Energi,35091581,6,156,FAIR
PT. Medixe Sekawan Utama,Farmasi,10476313,5,335,EXCELLENT
PT. Inovasi Multi Teknologi ,ICT,19536176,1,267,VERY GOOD
CV. Anipah Anugerah Sejahtera,Pertanian & Tahan Pangan,23685000,9,96,DROP OUT
CV. Quinzayara,Material Maju,22252161,8,301,EXCELLENT
PT Songsong Buwono Lestari ,Material Maju,44831304,10,315,EXCELLENT
CV Anita Bersatu Jaya,Pertanian & Tahan Pangan,25462333,1,70,DROP OUT
PT. Hita Karya Grup,Pertanian & Tahan Pangan,22399952,5,306,EXCELLENT
CV Tri Guna Jaya,Kreatif,48209507,3,342,EXCELLENT
CV. Sidi Mulya,Pertanian & Tahan Pangan,200000000,15,269,VERY GOOD
PT Geliyat Inovasi Mandiri,Pertanian & Tahan Pangan,30988103,3,212,GOOD
PT. Stephnus Kreasi Cipta,Material Maju,8351106,1,232,GOOD
PT Indo Metro Surya Andola,Pertanian & Tahan Pangan,90000000,12,207,GOOD
Chef Banana,Pertanian & Tahan Pangan,42274677,2,160,FAIR
PT. IT CREATIVE GLOBAL TECHNOLOGY / International Global Network,ICT,24000000000,91,284,VERY GOOD
CV. Surya Utama Teknika,Material Maju,16729290,8,152,FAIR
PT. Biocon Natural Indonesia,Farmasi,20000000,5,179,FAIR
PT Valensi Cahaya Persada,Material Maju,44799298,4,159,FAIR
PT. Ayena Mandiri Sinema,ICT,46983701,1,216,GOOD
PT. Atsiri Indonesia,Material Maju,26045199,7,251,VERY GOOD
PT Hebat Inovasi Indonesia,Pertanian & Tahan Pangan,190000000,3,200,GOOD
PT Algaepark Indonesia Mandiri,Pertanian & Tahan Pangan,5000000000,12,320,EXCELLENT
CV. Diana Hermawati,Pertanian & Tahan Pangan,350000000,5,223,GOOD
PT. Tryuasda Megah Warna,Material Maju,601806000,6,270,VERY GOOD
PT. Dinamika Rifqy Medika,Pertanian & Tahan Pangan,183600000,4,158,FAIR
PT. Indobit Digital Raya,ICT,200000000,17,226,GOOD
PT. Duta Mandiri Harapan Industri,Pertanian & Tahan Pangan,386000000,5,238,GOOD
PT. Pico Biru Tekno,Farmasi,222000000,5,263,VERY GOOD
PT. Global Indotech Madani,Farmasi,145000000,5,204,GOOD
PT. Cakra Mandiri Pratama Indonesia,Pertanian & Tahan Pangan,16243080,2,129,DROP OUT
PT. Solusi Madani,ICT,36415492,3,263,VERY GOOD
PT. Imsatech Engineering,Farmasi,13153371,3,344,EXCELLENT
CV. Nanotech Indonesia,Material Maju,21924948,1,325,EXCELLENT
PT. Igosnet Solution,ICT,33815593,6,117,DROP OUT
CV. Mekar Djaya Harum,Farmasi,13520488,9,228,GOOD
PT MOBISA HIS TEKNOLOGI,ICT,46805730,1,194,FAIR
PT. Master Solusi International,ICT,46715121,1,284,VERY GOOD
PT. Telaga Filter Air Minum,Farmasi,9655253,6,217,GOOD
CV. Mabol Store ,Pertanian & Tahan Pangan,17880924,10,133,DROP OUT
PT Bali Lengis Alus,Pertanian & Tahan Pangan,28539126,5,93,DROP OUT
MAS Food,Pertanian & Tahan Pangan,38806530,10,155,FAIR
Sentosa Quail Farm,Pertanian & Tahan Pangan,8627720,4,184,FAIR
PT. Tristania Vegetasi Indonesia,Material Maju,16997291,7,136,DROP OUT
